airport,iata
"Tirana International Airport Mother Teresa","TIA"
"Graz Airport","GRZ"
"Innsbruck Airport","INN"
"Linz Hörsching Airport","LNZ"
"Salzburg Airport","SZG"
"Vienna International Airport","VIE"
"Klagenfurt Airport","KLU"
"Hohenems-Dornbirn Airport","HOH"
"Antwerp International Airport (Deurne)","ANR"
"Brussels Airport","BRU"
"Brussels South Charleroi Airport","CRL"
"Wevelgem Airport","KJK"
"Liège Airport","LGG"
"Ostend-Bruges International Airport","OST"
"Zoersel (Oostmalle) Airfield","OBL"
"Mostar International Airport","OMO"
"Sarajevo International Airport","SJJ"
"Banja Luka International Airport","BNX"
"Tuzla International Airport","TZL"
"Burgas Airport","BOJ"
"Gorna Oryahovitsa Airport","GOZ"
"Plovdiv International Airport","PDV"
"Sofia Airport","SOF"
"Stara Zagora Airport","SZR"
"Varna Airport","VAR"
"Bezmer Air Base","JAM"
"Larnaca International Airport","LCA"
"Paphos International Airport","PFO"
"RAF Akrotiri","AKT"
"Ercan International Airport","ECN"
"Lefkoniko Airport","GEC"
"Aarhus Airport","AAR"
"Billund Airport","BLL"
"Copenhagen Kastrup Airport","CPH"
"Esbjerg Airport","EBJ"
"Karup Airport","KRP"
"Læsø Airport","BYR"
"Lolland Falster Maribo Airport","MRW"
"Odense Airport","ODE"
"Copenhagen Roskilde Airport","RKE"
"Bornholm Airport","RNN"
"Sønderborg Airport","SGD"
"Skrydstrup Air Base","SKS"
"Skive Airport","SQW"
"Thisted Airport","TED"
"Stauning Airport","STA"
"Aalborg Airport","AAL"
"Sindal Airport","CNL"
"Cork Airport","ORK"
"Galway Airport","GWY"
"Dublin Airport","DUB"
"Ireland West Knock Airport","NOC"
"Kerry Airport","KIR"
"Shannon Airport","SNN"
"Sligo Airport","SXL"
"Waterford Airport","WAT"
"Donegal Airport","CFN"
"Inishmore Aerodrome","IOR"
"Connemara Regional Airport","NNR"
"Inisheer Aerodrome","INQ"
"Inishmaan Aerodrome","IIA"
"Bantry Aerodrome","BYT"
"Kärdla Airport","KDL"
"Kuressaare Airport","URE"
"Pärnu Airport","EPU"
"Lennart Meri Tallinn Airport","TLL"
"Tartu Airport","TAY"
"Kunovice Airport","UHE"
"Karlovy Vary International Airport","KLV"
"Ostrava Leos Janáček Airport","OSR"
"Pardubice Airport","PED"
"Přerov Air Base","PRV"
"Václav Havel Airport Prague","PRG"
"Brno-Tuřany Airport","BRQ"
"Vodochody Airport","VOD"
"Enontekio Airport","ENF"
"Halli Airport","KEV"
"Helsinki Malmi Airport","HEM"
"Helsinki Vantaa Airport","HEL"
"Hyvinkää Airfield","HYV"
"Kitee Airport","KTQ"
"Ivalo Airport","IVL"
"Joensuu Airport","JOE"
"Jyvaskyla Airport","JYV"
"Kauhava Airport","KAU"
"Kemi-Tornio Airport","KEM"
"Kajaani Airport","KAJ"
"Kauhajoki Airport","KHJ"
"Kokkola-Pietarsaari Airport","KOK"
"Kuusamo Airport","KAO"
"Kittilä Airport","KTT"
"Kuopio Airport","KUO"
"Lahti Vesivehmaa Airport","QLF"
"Lappeenranta Airport","LPP"
"Mariehamn Airport","MHQ"
"Mikkeli Airport","MIK"
"Oulu Airport","OUL"
"Pori Airport","POR"
"Rovaniemi Airport","RVN"
"Savonlinna Airport","SVL"
"Sodankyla Airport","SOT"
"Tampere-Pirkkala Airport","TMP"
"Turku Airport","TKU"
"Utti Air Base","UTI"
"Vaasa Airport","VAA"
"Varkaus Airport","VRK"
"Ylivieska Airfield","YLI"
"Seinäjoki Airport","SJY"
"Calais-Dunkerque Airport","CQF"
"Albert-Bray Airport","BYF"
"Le Touquet-Côte d'Opale Airport","LTQ"
"Valenciennes-Denain Airport","XVS"
"Agen-La Garenne Airport","AGF"
"Bordeaux-Mérignac Airport","BOD"
"Bergerac-Roumanière Airport","EGC"
"Cognac-Châteaubernard (BA 709) Air Base","CNG"
"Poitiers-Biard Airport","PIS"
"Montluçon-Guéret Airport","MCU"
"Limoges Airport","LIG"
"Niort-Souché Airport","NIT"
